taxonomy,SRR14307903,SRR14307904,SRR14307905,SRR14307906,SRR14307907,SRR14307908,SRR14307909,SRR14307914,SRR14307923,SRR14307924,SRR14307925,SRR14307926,mean
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,NA,0.001793499255008,NA,NA,NA,NA,NA,NA,NA,2.96022752923119,NA,NA,1.4810105142431
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43217010518712,NA,NA,1.43217010518712
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia,0.0356533282761236,0.0220738369847139,0.0828657466582898,7.7116649078659,NA,NA,NA,NA,0.221655702731773,0.113042300573338,NA,0.106355102732864,1.184758703689
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus,0.236677413237246,0.0590475139341096,0.187395740808943,1.5139215845442,NA,NA,NA,NA,0.0632877542652381,4.33551532662182,NA,0.182396432223027,0.939748823662084
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus,NA,0.00193146073616246,1.39409432613358,NA,NA,NA,NA,NA,NA,0.75373572299219,NA,NA,0.716587169953978
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium,0.895884695619192,2.3439655648143,0.0693255919755627,0.132586519468572,NA,NA,0.0393199593563984,NA,0.906233100981109,0.176606022301476,NA,NA,0.651988779216659
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569003656719787,NA,NA,0.569003656719787
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus,NA,NA,NA,0.474876207484374,NA,NA,0.572280596573324,0.0990650428542561,0.513730174293881,NA,1.1365207107862,NA,0.559294546398406
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7,NA,0.0721538546437834,NA,0.876694536894228,NA,NA,NA,NA,NA,NA,NA,NA,0.474424195769006
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472755180353031,NA,NA,0.472755180353031
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas,NA,0.0811213509188235,NA,NA,NA,NA,NA,NA,NA,0.646110785066137,NA,NA,0.36361606799248
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Murdochiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265811927226762,NA,NA,0.265811927226762
